Training/Test,Unscaled_T3_T0_difference_minutes,Scaled_T3_T0_difference_minutes,Vector_Type_AMB,Vector_Type_PIT,Vector_Type_MUG,Y_True,Y_Prob,Y_Pred_Optimal
Test,11.866666666666667,-0.30544353564150256,False,True,False,1,0.7236962493139436,1
Test,7.083333333333333,-0.7759935870745248,True,False,False,1,0.71925222496299,1
Test,10.6,-0.430049124174289,False,False,True,0,0.2669495418628524,0
Test,8.45,-0.6415507152365185,False,False,True,0,0.2619998265561869,0
Test,36.516666666666666,2.1194467990952215,True,False,False,1,0.7839948411551221,1
Test,7.5,-0.7350049066361082,True,False,False,1,0.7202469107219784,1
Test,16.116666666666667,0.11264100483034638,False,False,True,1,0.2799187037990854,0
Test,10.516666666666667,-0.4382468602619722,True,False,False,1,0.7273837512017769,1
Test,19.1,0.40611995676940904,True,False,False,1,0.7470562168742076,1
Test,12.566666666666666,-0.23658255250496282,True,False,False,1,0.7321681622592201,1
Test,14.95,-0.002127300397220116,False,False,True,1,0.27714407161397936,0
Test,12.6,-0.2333034580698895,True,False,False,1,0.7322455160837632,1
Test,9.816666666666666,-0.5071078433985121,False,False,True,0,0.2651392898811576,0
Test,17.033333333333335,0.20281610179486292,False,False,True,0,0.2821106433442548,0
Test,15.783333333333331,0.07985006047961289,True,False,False,1,0.739567200144911,1
Test,14.083333333333334,-0.08738375570912645,False,False,True,0,0.27509393017098477,0
Test,23.616666666666667,0.8504372527218446,False,False,True,1,0.2981543739351821,0
Test,9.116666666666667,-0.5759688265350519,False,True,False,1,0.7171411328265113,1
Test,6.666666666666667,-0.8169822675129413,True,False,False,1,0.7182553859890969,1
Test,24.016666666666666,0.8897863859427243,False,False,True,1,0.2991459520481123,0
Test,8.816666666666666,-0.6054806764507119,False,False,True,0,0.26283976367656525,0
Test,5.95,-0.8874827978670177,False,False,True,1,0.2563193040968879,0
Test,17.466666666666665,0.24544432945081585,False,False,True,1,0.28315045214683826,0
Test,9.1,-0.5776083737525887,False,False,True,0,0.26348999147518304,0
Test,15.6,0.06181504108670976,False,False,True,0,0.27868784490251086,0
Test,6.65,-0.8186218147304779,True,False,False,1,0.7182154677160058,1
Test,57.61666666666667,4.195113576496636,True,False,False,0,0.8232930533868924,1
Test,21.65,0.6569706810525181,True,False,False,1,0.7527163735963237,1
Test,10.166666666666666,-0.47267735183024223,False,False,True,0,0.26594715533401103,0
Test,7.916666666666667,-0.6940162261976917,True,False,False,0,0.7212394381802427,1
Test,10.983333333333333,-0.3923395381709458,True,False,False,1,0.7284775708808298,1
Test,15.366666666666667,0.03886138004119656,True,False,False,1,0.7386162793375618,1
Test,18.0,0.2979098404119892,True,False,False,1,0.7445882877155212,1
Test,11.483333333333333,-0.34315312164484596,False,False,True,1,0.2690002926409746,0
Test,9.133333333333333,-0.5743292793175153,True,False,False,1,0.7241252192691183,1
Test,10.35,-0.4546423324373389,False,False,True,0,0.26637094887414803,0
Test,9.016666666666667,-0.5858061098402718,True,False,False,1,0.7238493034512652,1
Test,3.966666666666667,-1.0825889167538807,True,False,False,0,0.7117440463619972,0
Test,114.73333333333332,9.813841890994777,False,False,True,1,0.5553392223217722,0
Test,6.333333333333333,-0.8497732118636745,False,False,True,0,0.257185056761876,0
Test,10.35,-0.4546423324373389,True,False,False,1,0.7269924343427222,1
Test,11.216666666666669,-0.36938587712543225,True,False,False,1,0.7290234472089283,1
Test,15.15,0.01754726621321994,True,False,False,1,0.7381209148428531,1
Test,19.866666666666667,0.48153912877609545,True,False,False,1,0.7487669341122452,1
Test,7.9,-0.6956557734152282,False,False,True,0,0.26074317139324527,0
Test,14.016666666666667,-0.09394194457927306,True,False,False,1,0.7355199255331529,1
Test,11.5,-0.3415135744273092,False,True,False,1,0.7228276781142025,1
Test,17.383333333333333,0.23724659336313264,False,False,True,0,0.28295030891540035,0
Test,19.08333333333333,0.4044804095518718,True,False,False,1,0.7470189419308343,1
Test,11.05,-0.385781349300799,True,False,False,1,0.7286336059134912,1
Test,13.833333333333334,-0.11197696397217638,True,False,False,1,0.7350976261556349,1
Test,6.633333333333334,-0.8202613619480145,True,False,False,1,0.7181755460063501,1
Test,11.716666666666669,-0.3201994605993324,False,False,True,0,0.2695436597904648,0
Test,8.25,-0.6612252818469584,False,True,False,1,0.7150558697970317,1
Test,29.73333333333333,1.4521510815577994,False,False,True,0,0.31352061410018306,0
Test,15.9,0.09132689100236975,True,False,False,1,0.7398330559785656,1
Test,6.233333333333333,-0.8596104951688947,False,False,True,0,0.25695902404167015,0
Test,13.4,-0.15460519162812963,True,False,False,1,0.734097751071357,1
Test,11.366666666666667,-0.35462995216760246,False,False,True,0,0.26872886881750935,0
Test,4.883333333333334,-0.992413819789364,False,False,True,0,0.25392032401875897,0
Test,8.916666666666666,-0.595643393145492,False,False,True,1,0.26306913790381825,0
Test,17.066666666666666,0.20609519622993608,False,False,True,0,0.28219054629978385,0
Test,26.133333333333333,1.0980088825698804,True,False,False,0,0.7624598099092896,1
Test,6.266666666666667,-0.8563314007338212,True,False,False,1,0.7172963996189965,1
Test,8.966666666666667,-0.5907247514928818,True,False,False,1,0.7237310015803359,1
Test,6.85,-0.798947248120038,True,False,False,1,0.7186942600848142,1
Test,13.083333333333334,-0.1857565887613262,True,False,False,1,0.7333655527583312,1
Test,20.016666666666666,0.4962950537339253,False,True,False,1,0.7425618253820794,1
Test,7.716666666666667,-0.7136907928081315,True,False,False,0,0.720763294674827,1
Test,16.983333333333334,0.19789746014225287,True,False,False,0,0.7422933013007229,1
Test,13.35,-0.15952383328073969,True,False,False,1,0.7339822261058783,1
Test,57.2,4.15412489605822,False,False,True,1,0.38730804187583945,0
Test,15.916666666666666,0.09296643821990633,False,False,True,0,0.2794418482426157,0
Test,15.233333333333333,0.025745002300903135,True,False,False,1,0.7383115113114915,1
Test,9.0,-0.5874456570578086,False,False,True,0,0.26326038138737873,0
Test,24.98333333333333,0.9848801245598505,True,False,False,1,0.7599859841961486,1
Test,15.316666666666666,0.0339427383885865,False,False,True,1,0.27801426960777675,0
Test,10.166666666666666,-0.47267735183024223,False,False,True,1,0.26594715533401103,0
Test,8.183333333333334,-0.667783470717105,False,False,True,0,0.26139005166732365,0
Test,23.116666666666667,0.8012508361957447,True,False,False,1,0.7559331149060549,1
Test,9.5,-0.5382592405317087,False,False,True,0,0.26440971706079275,0
Test,8.0,-0.6858184901100083,True,False,False,1,0.7214376842334967,1
Test,20.516666666666666,0.5454814702600251,True,False,False,1,0.750211289751954,1
Test,8.85,-0.6022015820156386,False,False,True,0,0.26291620745206995,0
Test,19.466666666666665,0.4421899955552153,False,False,True,0,0.2879794785859104,0
Test,32.0,1.675129503142786,True,False,False,1,0.774805090812767,1
Test,53.016666666666666,3.7425985444565173,False,False,True,0,0.3756268707048004,0
Test,17.683333333333334,0.2667584432787926,False,False,True,0,0.283671225176944,0
Test,15.033333333333331,0.00607043569046308,False,False,True,0,0.2773416963531282,0
Test,10.433333333333334,-0.44644459634965555,False,False,True,1,0.26656372442971593,0
Test,10.4,-0.4497236907847289,True,False,False,1,0.7271098662241938,1
Test,16.083333333333332,0.10936191039527289,True,False,False,1,0.7402504737724073,1
Test,10.75,-0.415293199216459,False,False,True,0,0.26729708098139576,0
Test,0.8,-1.3941028880858464,True,False,False,1,0.7039943766604525,0
Test,26.916666666666668,1.1750676017941037,True,False,False,1,0.7641347986851817,1
Test,16.216666666666665,0.12247828813556615,False,False,True,0,0.28015731801714605,0
Test,11.866666666666667,-0.30544353564150256,False,False,True,1,0.2698933327335746,0
Test,8.85,-0.6022015820156386,True,False,False,1,0.7234548420612289,1
Test,16.15,0.11592009926541952,False,False,True,0,0.2799982280674575,0
Test,11.683333333333334,-0.32347855503440587,False,False,True,0,0.26946599352428735,0
Test,8.55,-0.6317134319312984,False,False,True,1,0.26222872853622303,0
Test,8.183333333333334,-0.667783470717105,True,False,False,0,0.7218735207598359,1
Test,36.333333333333336,2.1014117797023184,False,False,True,1,0.33057184924772937,0
Test,16.733333333333334,0.17330425187920293,False,False,True,1,0.28139213515589845,0
Test,18.45,0.342177615285479,False,False,True,1,0.28551859720110007,0
Test,11.0,-0.39069999095340907,False,False,True,0,0.26787695110728693,0
Test,11.85,-0.3070830828590393,False,True,False,1,0.7236568053276443,1
Test,17.083333333333332,0.20773474344747264,False,False,True,1,0.2822305029274721,0
Test,11.233333333333333,-0.36774632990789585,True,False,False,0,0.7290624119796572,1
Test,14.65,-0.031639150312879935,False,False,True,0,0.27643334197989966,0
Test,21.03333333333333,0.5963074340036616,False,False,True,0,0.2917962716068626,0
Test,11.466666666666669,-0.34479266886238236,False,False,True,1,0.26896150720288287,0
Test,11.0,-0.39069999095340907,True,False,False,1,0.7285165849147197,1
Test,14.283333333333331,-0.06770918909868673,True,False,False,1,0.7361334090039434,1
Test,52.15,3.6573420891446107,True,False,False,1,0.8136829950078946,1
Test,7.6,-0.7251676233308882,True,False,False,1,0.7204853143391313,1
Test,20.55,0.5487605646950986,False,False,True,1,0.2906155802919322,0
Test,16.516666666666666,0.15199013805122613,True,False,False,1,0.7412353680479399,1
Test,22.566666666666663,0.7471457780170344,False,False,True,0,0.2955605032668937,0
Test,12.916666666666666,-0.20215206093669294,False,False,True,1,0.27234903431135044,0
Test,23.48333333333333,0.8373208749815509,False,False,True,0,0.2978242683228854,0
Test,16.85,0.18478108240195962,False,False,True,0,0.281671422680024,0
Test,5.05,-0.9760183476139977,False,True,False,0,0.7072769593324325,0
Test,14.35,-0.061151000228539934,False,False,True,1,0.2757237397702543,0
Test,11.75,-0.3169203661642592,False,False,True,0,0.2696213401800368,0
Test,16.233333333333334,0.12411783535310306,False,False,True,0,0.28019709913037133,0
Test,12.066666666666666,-0.2857689690310627,False,False,True,0,0.2703600078646724,0
Test,29.48333333333333,1.4275578732947494,True,False,False,0,0.7695656675072291,1
Test,9.433333333333334,-0.5448174294018553,True,False,False,1,0.7248339329265208,1
Test,7.2,-0.7645167565517681,True,False,False,0,0.7195309542396775,1
Test,13.483333333333333,-0.14640745554044643,True,False,False,0,0.7342902215606022,1
Test,21.9,0.6815638893155681,True,False,False,1,0.7532666888990253,1
Test,12.35,-0.25789666633293945,False,False,True,0,0.2710219997775908,0
Test,9.116666666666667,-0.5759688265350519,False,False,True,1,0.26352827232507764,0
Test,15.983333333333333,0.09952462709005296,False,False,True,1,0.2796007448292074,0
Test,10.716666666666669,-0.41857229365153215,True,False,False,0,0.7278528682637876,1
Test,10.0,-0.4890728240056088,True,False,False,1,0.7261695281602608,1
Test,10.6,-0.430049124174289,True,False,False,1,0.7275792780744857,1
Test,19.316666666666663,0.42743407059738514,True,False,False,1,0.7475404604838761,1
Test,14.916666666666666,-0.00540639483229343,True,False,False,1,0.7375867684553661,1
Test,13.85,-0.1103374167546398,True,False,False,1,0.7351360348253024,1
Test,10.633333333333333,-0.4267700297392157,True,False,False,1,0.7276574642548438,1
Test,21.15,0.6077842645264183,True,False,False,1,0.7516132727985699,1
Test,14.933333333333334,-0.0037668476147566855,False,True,False,1,0.730894391727768,1
Test,29.666666666666668,1.4455928926876531,True,False,False,1,0.7699502149950698,1
Test,9.6,-0.5284219572264888,False,False,True,0,0.26463996949899554,0
Test,14.516666666666667,-0.04475552805317319,True,False,False,1,0.7366694575535512,1
Test,13.266666666666667,-0.1677215693684229,False,False,True,0,0.2731707013905696,0
Test,76.73333333333333,6.0756742350111885,True,False,False,1,0.8538430148533552,1
Test,31.6,1.6357803699219062,False,False,True,0,0.31829486555856823,0
Test,17.583333333333332,0.2569211599735725,False,False,True,0,0.28343079651472997,0
Test,36.68333333333333,2.1358422712705876,False,False,True,1,0.3314891504211791,0
Test,36.5,2.117807251877685,False,False,True,1,0.33100849918054776,0
Test,16.783333333333335,0.178222893531813,False,False,True,1,0.28151180917675184,0
Test,16.616666666666667,0.16182742135644626,False,False,True,1,0.2811130161833231,0
Test,7.666666666666667,-0.7186094344607415,True,False,False,1,0.7206441809836754,1
Test,14.1,-0.08574420849158987,False,False,True,1,0.2751332671084177,0
Test,12.833333333333334,-0.21034979702437612,True,False,False,1,0.7327865958874127,1
Test,19.85,0.4798995815585589,False,False,True,1,0.2889106242406307,0
Test,18.23333333333333,0.3208635014575022,True,False,False,1,0.7451131073403848,1
Test,22.416666666666668,0.7323898530592049,True,False,False,1,0.754401394946873,1
Test,5.9,-0.8924014395196278,True,False,False,0,0.7164155936677706,1
Test,15.766666666666667,0.0782105132620765,False,False,True,0,0.27908453311934445,0
Test,15.166666666666666,0.019186813430756507,False,False,True,0,0.27765807649446234,0
Test,9.683333333333334,-0.5202242211388054,False,False,True,1,0.26483194454707176,0
Test,11.883333333333333,-0.303803988423966,False,False,True,1,0.26993220292835435,0
Test,16.383333333333333,0.13887376031093288,True,False,False,1,0.7409325827130033,1
Test,15.1,0.012628624560609881,False,False,True,0,0.27749985865301924,0
Test,6.15,-0.8678082312565778,False,False,True,1,0.2567707627410508,0
Test,9.766666666666667,-0.512026485051122,True,False,False,0,0.7256200664644675,1
Test,8.25,-0.6612252818469584,False,False,True,0,0.2615424093930256,0
Test,12.633333333333333,-0.23002436363481618,True,False,False,0,0.7323228557351078,1
Test,9.7,-0.5185846739212688,True,False,False,1,0.7254629515357748,1
Test,14.65,-0.031639150312879935,False,False,True,0,0.27643334197989966,0
Test,4.0,-1.0793098223188073,True,False,False,1,0.7118249772634305,0
Test,18.1,0.3077471237172093,True,False,False,1,0.7448132973149486,1
Test,33.983333333333334,1.8702356220296488,True,False,False,1,0.7788742466151659,1
Test,11.616666666666667,-0.3300367439045525,True,False,False,0,0.7299576293693862,1
Test,20.183333333333334,0.512690525909292,False,False,True,0,0.2897217673429275,0
Test,34.53333333333333,1.9243406802083585,True,False,False,1,0.779993297842219,1
Test,9.0,-0.5874456570578086,False,False,True,0,0.26326038138737873,0
Test,11.45,-0.34643221607991925,False,False,True,1,0.26892272529972894,0
Test,10.35,-0.4546423324373389,True,False,False,1,0.7269924343427222,1
Test,4.85,-0.9956929142244376,False,False,True,1,0.25384559504131105,0
Test,22.133333333333333,0.7045175503610814,True,False,False,1,0.7537795729636955,1
Test,13.083333333333334,-0.1857565887613262,True,False,False,1,0.7333655527583312,1
Test,16.466666666666665,0.14707149639861608,False,False,True,0,0.28075439678272185,0
Test,6.783333333333333,-0.8055054369901847,True,False,False,1,0.7185347176490023,1
Test,13.566666666666666,-0.13820971945276306,False,False,True,1,0.2738762176571117,0
Test,18.98333333333333,0.39464312624665204,True,False,False,1,0.7467952159929123,1
Test,7.6,-0.7251676233308882,True,False,False,1,0.7204853143391313,1
Test,4.25,-1.0547166140557573,True,False,False,0,0.7124315277179428,0
Test,20.75,0.5684351313055385,False,False,True,0,0.29110380012059,0
Test,14.05,-0.09066285014419975,False,False,True,1,0.2750152667665536,0
Test,15.133333333333333,0.015907718995683193,False,False,True,1,0.27757896063229637,0
Test,29.6,1.4390347038175064,False,False,True,0,0.31318108714824855,0
Test,18.48333333333333,0.34545670972055215,True,False,False,1,0.7456746261827337,1
Test,49.95,3.440921856429772,False,False,True,0,0.3671539379570381,0
Test,6.633333333333334,-0.8202613619480145,True,False,False,1,0.7181755460063501,1
Test,9.85,-0.5038287489634388,False,False,True,1,0.265216161828462,0
Test,9.216666666666669,-0.5661315432298317,True,False,False,1,0.724322197480984,1
Test,9.183333333333334,-0.5694106376649053,True,False,False,1,0.7242434166507994,1
Test,13.85,-0.1103374167546398,True,False,False,1,0.7351360348253024,1
Test,15.016666666666667,0.004430888472926686,True,False,False,1,0.7378157742553983,1
Test,4.7,-1.0104488391822675,True,False,False,1,0.7135213974924922,1
Test,10.316666666666666,-0.4579214268724123,True,False,False,0,0.7269141288924232,1
Test,12.95,-0.19887296650161962,True,False,False,1,0.7330568751302096,1
Test,15.833333333333334,0.08476870213222312,False,False,True,0,0.2792433052676495,0
Test,9.383333333333333,-0.5497360710544654,False,False,True,0,0.26414125145672057,0
Test,15.8,0.08148960769714982,True,False,False,1,0.7396051903233746,1
Test,12.95,-0.19887296650161962,False,False,True,1,0.27242722165888417,0
Test,18.433333333333334,0.34053806806794246,False,False,True,0,0.2854783602105585,0
Test,12.383333333333333,-0.2546175718978661,True,False,False,1,0.7317424629734081,1
Test,11.883333333333333,-0.303803988423966,True,False,False,1,0.7305792889731328,1
Test,9.066666666666666,-0.5808874681876619,True,False,False,1,0.7239675739850365,1
Test,9.3,-0.5579338071421486,False,False,True,0,0.26394959732746903,0
Test,17.55,0.2536420655384994,True,False,False,1,0.7435741326355276,1
Test,5.016666666666667,-0.9792974420490709,True,False,False,0,0.714286859118793,1
Test,38.96666666666667,2.360460240073111,False,False,True,1,0.3375046611707968,0
Test,17.75,0.27331663214893925,False,False,True,1,0.2838315793693653,0
Test,17.4,0.2388861405806692,True,False,False,1,0.7432354952758579,1
Test,14.133333333333333,-0.08246511405651656,True,False,False,1,0.735788436915039,1
Test,12.1,-0.2824898745959894,True,False,False,1,0.7310837217250066,1
Test,6.616666666666666,-0.8219009091655515,False,False,True,1,0.257826188340758,0
Test,13.683333333333334,-0.12673288893000637,False,False,True,1,0.27415089137508264,0
Test,38.25,2.2899597097190343,True,False,False,1,0.7874485939621599,1
Test,6.416666666666667,-0.8415754757759913,True,False,False,1,0.7176562512052033,1
Test,56.56666666666667,4.091822101791827,True,False,False,1,0.8214779145980698,1
Test,16.533333333333335,0.15362968526876306,False,False,True,0,0.2809137487462268,0
Test,11.133333333333333,-0.3775836132131158,False,False,True,0,0.2681865411374567,0
Test,19.7,0.4651436566007287,False,False,True,0,0.2885460500525744,0
Test,14.216666666666669,-0.07426737796883301,False,False,True,0,0.2754087233664048,0
Test,10.333333333333334,-0.4562818796548755,False,False,True,0,0.266332404420068,0
Test,33.38333333333333,1.811211922198329,True,False,False,1,0.7776488215472976,1
Test,8.216666666666667,-0.6645043762820317,False,False,True,1,0.2614662233615986,0
Test,37.73333333333333,2.2391337459753973,True,False,False,1,0.7864233455838862,1
Test,23.516666666666666,0.8405999694166244,True,False,False,0,0.7568054740689047,1
Test,15.45,0.04705911612887976,False,False,True,1,0.2783311214900058,0
Test,11.833333333333334,-0.30872263007657585,False,False,True,1,0.2698156029294156,0
Test,9.283333333333331,-0.5595733543596855,True,False,False,1,0.7244797173121736,1
Test,25.766666666666666,1.0619388437840738,True,False,False,0,0.7616729643270729,1
Test,8.416666666666666,-0.6448298096715919,True,False,False,1,0.7224276151223822,1
Test,17.35,0.2339674989280595,False,False,True,0,0.28287027560788325,0
Test,35.266666666666666,1.9964807577799717,True,False,False,1,0.7814790322747236,1
Test,8.533333333333333,-0.6333529791488351,True,False,False,1,0.7227044072555379,1
Test,35.733333333333334,2.0423880798709986,False,False,True,1,0.32900232922529415,0
Test,20.366666666666667,0.5307255453021953,False,False,True,0,0.29016847034833965,0
Test,5.183333333333334,-0.9629019698737042,True,False,False,1,0.7146892403735127,1
Test,16.233333333333334,0.12411783535310306,True,False,False,1,0.7405916739110786,1
Test,10.383333333333333,-0.45136323800226563,True,False,False,1,0.7270707257699542,1
Test,9.75,-0.5136660322686587,True,False,False,1,0.7255807929747657,1
Test,11.766666666666667,-0.3152808189467225,True,False,False,1,0.7303074240792922,1
Test,9.233333333333333,-0.5644919960122954,True,False,False,0,0.7243615826678839,1
Test,36.38333333333333,2.106330421354928,True,False,False,1,0.7837274910056486,1
Test,16.583333333333332,0.15854832692137277,False,False,True,0,0.281033298879758,0
Test,14.1,-0.08574420849158987,False,False,True,1,0.2751332671084177,0
Test,13.566666666666666,-0.13820971945276306,False,False,True,0,0.2738762176571117,0
Test,12.116666666666667,-0.2808503273784526,False,False,True,0,0.27047675597986304,0
Test,11.366666666666667,-0.35462995216760246,True,False,False,1,0.7293740033691966,1
Test,10.0,-0.4890728240056088,True,False,False,1,0.7261695281602608,1
Test,12.333333333333334,-0.259536213550476,False,False,True,0,0.2709830309009672,0
Test,16.016666666666666,0.10280372152512626,True,False,False,1,0.7400987357938706,1
Test,13.65,-0.1300119833650797,False,False,True,0,0.27407239567947056,0
Test,15.8,0.08148960769714982,True,False,False,1,0.7396051903233746,1
Test,8.533333333333333,-0.6333529791488351,False,False,True,0,0.2621905692559505,0
Test,15.266666666666667,0.029024096735976623,False,False,True,0,0.27789550735324847,0
Test,24.83333333333333,0.9701241996020203,False,False,True,0,0.30117627846154843,0
Test,22.266666666666666,0.7176339281013747,False,False,True,0,0.2948218075937805,0
Test,13.45,-0.14968654997551975,True,False,False,1,0.7342132440344243,1
Test,13.983333333333333,-0.09722103901434656,True,False,False,1,0.7354431759050639,1
Test,14.083333333333334,-0.08738375570912645,False,False,True,1,0.27509393017098477,0
Test,12.283333333333331,-0.26445485520308626,False,False,True,1,0.27086614539571147,0
Test,8.833333333333334,-0.6038411292331751,True,False,False,0,0.7234153767835417,1
Test,35.2,1.9899225689098254,False,False,True,1,0.32761039549418103,0
Test,14.533333333333331,-0.043115980835636794,False,False,True,0,0.2761572514979472,0
Test,13.016666666666667,-0.1923147776314728,False,False,True,1,0.2725836384723447,0
Test,21.933333333333334,0.6848429837506416,True,False,False,1,0.7533400020160499,1
Test,11.383333333333333,-0.3529904049500659,False,False,True,0,0.26876763304191115,0
Test,57.45,4.17871810432127,False,False,True,0,0.3880103909305962,0
Test,15.416666666666666,0.043780021693806445,False,False,True,1,0.2782518877246483,0
Test,9.183333333333334,-0.5694106376649053,False,False,True,0,0.2636814314354711,0
Test,15.3,0.03230319117104994,False,False,True,1,0.27797467872190984,0
Test,15.783333333333331,0.07985006047961289,False,False,True,0,0.2791242209691661,0
Test,16.516666666666666,0.15199013805122613,False,False,True,1,0.28087390558885017,0
Test,11.0,-0.39069999095340907,True,False,False,1,0.7285165849147197,1
Test,13.183333333333334,-0.17591930545610626,True,False,False,1,0.7335969118482017,1
Test,10.183333333333334,-0.4710378046127055,True,False,False,1,0.7266007669071458,1
Test,15.95,0.09624553265497963,False,False,True,0,0.27952128962556616,0
Test,23.1,0.7996112889782081,False,False,True,0,0.29687638831542784,0
Test,8.533333333333333,-0.6333529791488351,False,False,True,0,0.2621905692559505,0
Test,11.333333333333334,-0.35790904660267575,True,False,False,0,0.7292961266551153,1
Test,24.53333333333333,0.9406123496863608,True,False,False,1,0.7590131805052771,1
Test,17.616666666666667,0.260200254408646,True,False,False,1,0.7437245441746957,1
Test,7.716666666666667,-0.7136907928081315,False,False,True,0,0.2603251543953218,0
Test,21.166666666666668,0.6094238117439552,False,False,True,1,0.2921224754615944,0
Test,9.716666666666669,-0.5169451267037319,False,False,True,0,0.2649087595082879,0
Test,5.516666666666667,-0.930111025522971,False,False,True,0,0.25534292977712897,0
Test,24.9,0.9766823884721674,False,False,True,1,0.30134236523165464,0
Test,9.266666666666667,-0.5612129015772219,True,False,False,1,0.724440342583782,1
Test,12.666666666666666,-0.22674526919974286,True,False,False,1,0.7324001812111328,1
Test,9.3,-0.5579338071421486,False,False,True,0,0.26394959732746903,0
Test,13.15,-0.17919839989117956,True,False,False,0,0.7335198063587098,1
Test,10.416666666666666,-0.44808414356719234,True,False,False,1,0.7271490031717953,1
Test,11.95,-0.29724579955381936,True,False,False,1,0.7307345626493316,1
Test,17.333333333333332,0.2323279517105226,True,False,False,1,0.7430848958598255,1
Test,21.516666666666666,0.6438543033122249,True,False,False,0,0.7524225353102246,1
Test,16.4,0.14051330752846947,False,True,False,1,0.7342947963974004,1
Test,12.45,-0.2480593830277195,False,False,True,0,0.27125588695380215,0
Test,5.35,-0.9465064976983377,False,False,True,0,0.2549680525885109,0
Test,12.65,-0.22838481641727945,True,False,False,1,0.7323615202451678,1
Test,15.933333333333334,0.09460598543744307,True,False,False,1,0.7399089824617108,1
Test,15.05,0.007709982907999999,False,False,True,1,0.27738123171998796,0
Test,12.55,-0.2382220997224994,False,False,True,1,0.27148990079997976,0
Test,16.116666666666667,0.11264100483034638,True,False,False,1,0.7403263211942781,1
Test,5.466666666666667,-0.935029667175581,True,False,False,1,0.7153725065205107,1
Test,54.15,3.8540877552490103,False,False,True,0,0.3787778597075901,0
Test,6.166666666666667,-0.8661686840390412,False,False,True,0,0.2568084077779678,0
Test,13.333333333333334,-0.16116338049827625,True,False,False,1,0.7339437106736025,1
Test,11.45,-0.34643221607991925,True,False,False,1,0.7295686334944047,1
Test,23.633333333333333,0.8520767999393811,False,False,True,0,0.2981956519314852,0
Test,7.15,-0.7694353982043781,False,False,True,0,0.25903585050382194,0
Test,8.633333333333333,-0.6235156958436152,False,False,True,0,0.26241957862605847,0
Test,10.516666666666667,-0.4382468602619722,False,False,True,0,0.266756588770122,0
Test,17.983333333333334,0.29627029319445264,True,False,False,1,0.7445507734458422,1
Test,10.75,-0.415293199216459,True,False,False,1,0.7279310052845569,1
Test,8.85,-0.6022015820156386,False,False,True,0,0.26291620745206995,0
Test,11.483333333333333,-0.34315312164484596,False,False,True,0,0.2690002926409746,0
Test,9.45,-0.5431778821843187,False,False,True,1,0.26429463897449856,0
Test,19.53333333333333,0.44874818442536196,False,False,True,0,0.2881412885318513,0
Test,14.333333333333334,-0.0627905474460765,False,False,True,0,0.27568435051835727,0
Test,30.933333333333334,1.5701984812204393,False,False,True,0,0.31658532152837415,0
Test,37.78333333333333,2.2440523876280074,False,False,True,0,0.3343804153572954,0
Test,15.066666666666666,0.009349530125536569,False,False,True,1,0.2774207705591309,0
Test,13.116666666666667,-0.18247749432625288,False,False,True,0,0.27281836895390227,0
Test,13.433333333333334,-0.1513260971930563,True,False,False,1,0.7341747499363194,1
Test,13.65,-0.1300119833650797,False,False,True,1,0.27407239567947056,0
Test,9.016666666666667,-0.5858061098402718,True,False,False,1,0.7238493034512652,1
Test,13.65,-0.1300119833650797,True,False,False,1,0.7346748957244706,1
