Training/Test,X,Y,Y_pred
Training,-1.017007028052414,0,0.0
Training,-0.5940038459279552,1,1.0
Training,-0.5628524487947586,0,0.0
Training,0.2749561793664758,0,0.0
Training,-1.008809291964731,1,1.0
Training,0.0027913412553899415,0,0.0
Training,0.20117655457732603,1,1.0
Training,3.022837315957923,0,0.0
Training,-1.0137279336173408,1,1.0
Training,0.49957414816899876,1,1.0
Training,-0.3169203661642592,0,0.0
Training,-0.10541877510202975,1,1.0
Training,-0.9907742725718275,1,1.0
Training,3.7967036026352274,1,1.0
Training,4.532860303309189,1,1.0
Training,1.625943086616686,1,1.0
Training,2.4571935259077744,1,1.0
Training,1.3800110039861864,0,0.0
Training,-0.1513260971930563,1,1.0
Training,-0.45956097408994884,1,1.0
Training,2.050585815958682,1,1.0
Training,-0.8022263425551114,1,1.0
Training,0.024105455083366742,0,0.0
Training,-0.1218142472773965,1,1.0
Training,-0.00540639483229343,0,0.0
Training,-0.2824898745959894,1,1.0
Training,-0.8415754757759913,0,0.0
Training,-0.4546423324373389,1,1.0
Training,-0.10541877510202975,1,1.0
Training,-0.8022263425551114,1,1.0
Training,2.065341740916512,1,1.0
Training,-0.27921078016091605,1,1.0
Training,-0.4890728240056088,1,1.0
Training,-0.41857229365153215,1,1.0
Training,-0.6251552430611518,1,1.0
Training,0.21593247953515618,1,1.0
Training,0.39464312624665204,1,1.0
Training,0.6077842645264183,1,1.0
Training,-0.11197696397217638,1,1.0
Training,-0.22838481641727945,0,0.0
Training,-0.10213968066695643,1,1.0
Training,-0.26445485520308626,1,1.0
Training,-0.2808503273784526,0,0.0
Training,0.024105455083366742,1,1.0
Training,-0.4939914656582189,1,1.0
Training,0.3979222206817255,1,1.0
Training,-0.9727392531789242,0,0.0
Training,-0.42021184086906904,1,1.0
Training,-0.2726525912907694,1,1.0
Training,-0.24641983581018256,0,0.0
Training,0.46678320381826527,0,0.0
Training,-0.39069999095340907,1,1.0
Training,0.17330425187920293,0,0.0
Training,-0.4333282186093623,0,0.0
Training,-0.00540639483229343,1,1.0
Training,-0.8612500423864312,1,1.0
Training,3.7967036026352274,1,1.0
Training,-0.33823447999223605,1,1.0
Training,0.39464312624665204,0,0.0
Training,-0.3300367439045525,1,1.0
Training,0.4602250149481186,1,1.0
Training,-0.20215206093669294,1,1.0
Training,-0.11361651118971312,0,0.0
Training,-0.3939790853884822,0,0.0
Training,-0.3972581798235557,0,0.0
Training,-0.8055054369901847,1,1.0
Training,0.5913887923510516,0,0.0
Training,-0.14640745554044643,1,1.0
Training,0.019186813430756507,1,1.0
Training,0.5749933201756848,0,0.0
Training,-0.5185846739212688,0,0.0
Training,-0.45136323800226563,1,1.0
Training,-0.6727021123697151,0,0.0
Training,-0.6546670929768118,1,1.0
Training,0.2536420655384994,1,1.0
Training,1.09309024091727,0,0.0
Training,-0.008685489267366743,1,1.0
Training,-0.17264021102103277,1,1.0
Training,-0.01688322535504994,1,1.0
Training,0.2421652350157427,1,1.0
Training,-0.5333405988790987,1,1.0
Training,-0.3972581798235557,1,1.0
Training,-0.8317381924707712,1,1.0
Training,0.2716770849314027,1,1.0
Training,2.65557873922971,1,1.0
Training,-0.04147643361809988,1,1.0
Training,-0.6546670929768118,1,1.0
Training,0.8045299306308178,0,0.0
Training,0.4798995815585589,1,1.0
Training,-0.4546423324373389,1,1.0
Training,-0.007045942049829999,1,1.0
Training,1.0029151439527542,1,1.0
Training,-0.17264021102103277,0,0.0
Training,-0.29560625233628246,1,1.0
Training,0.21593247953515618,0,0.0
Training,-0.2857689690310627,0,0.0
Training,0.4471086372078254,1,1.0
Training,0.37988720128882186,1,1.0
Training,0.5585978480003184,0,0.0
Training,-1.018646575269951,0,0.0
Training,0.5340046397372684,1,1.0
Training,0.8914259331602609,1,1.0
Training,-0.46447961574255886,1,1.0
Training,-0.26445485520308626,1,1.0
Training,-0.20543115537176623,1,1.0
Training,-0.7677958509868414,1,1.0
Training,-0.22510572198220613,1,1.0
Training,-0.06443009466361324,0,0.0
Training,0.025745002300903135,1,1.0
Training,7.261066873290194,1,1.0
Training,-0.6005620347981018,1,1.0
Training,-0.2726525912907694,0,0.0
Training,-0.7628772093342314,0,0.0
Training,-0.46120052130748573,0,0.0
Training,0.33725897363286894,1,1.0
Training,-0.6022015820156386,1,1.0
Training,-0.2677339496381594,1,1.0
