Postal Code,Commune Name,Longitude Commune,Latitude Commune,Province,Region
1501,Buizingen,4.2605080818496,50.73793415,Flemish Brabant,Flanders
1502,Lembeek,4.2143430588907,50.7092954,Flemish Brabant,Flanders
1540,Herfelingen / Herne,4.06174918317485,50.735512275000005,Flemish Brabant,Flanders
1541,Sint-Pieters-Kapelle,3.9985766720315,50.70721955,Flemish Brabant,Flanders
1547,Biévène,3.943147,50.7164481,Flemish Brabant,Flanders
1560,Hoeilaart,4.474407,50.7674846,Flemish Brabant,Flanders
1570,Galmaarden / Tollembeek / Vollezele,4.0001745137919995,50.75222816666667,Flemish Brabant,Flanders
1600,Oudenaken / Sint-Laureins-Berchem / Sint-Pieters-Leeuw,4.213500539102133,50.783134116666666,Flemish Brabant,Flanders
1601,Ruisbroek,4.298610469732,50.7848617,Flemish Brabant,Flanders
1602,Vlezenbeek,4.2360410720845,50.805593,Flemish Brabant,Flanders
1620,Drogenbos,4.3173542,50.786532,Flemish Brabant,Flanders
1630,Linkebeek,4.3345641,50.7716092,Flemish Brabant,Flanders
1640,Rhode-Saint-Genèse,4.3463687,50.74503,Flemish Brabant,Flanders
1650,Beersel,4.3051321494591,50.7684432,Flemish Brabant,Flanders
1651,Lot,4.2729986221483,50.76514035,Flemish Brabant,Flanders
1652,Alsemberg,4.3281703413079,50.7449476,Flemish Brabant,Flanders
1653,Dworp,4.2950152833964,50.73423975,Flemish Brabant,Flanders
1654,Huizingen,4.2732545968764,50.74931535,Flemish Brabant,Flanders
1670,Bogaarden / Heikruis / Pepingen,4.142675096379233,50.74194073333333,Flemish Brabant,Flanders
1671,Elingen,4.174198071757,50.7793527,Flemish Brabant,Flanders
1673,Beert,4.1853449364222,50.7354888,Flemish Brabant,Flanders
1674,Bellingen,4.1601450278998,50.73779765,Flemish Brabant,Flanders
1700,Dilbeek / Sint-Martens-Bodegem / Sint-Ulriks-Kapelle,4.233813922254767,50.86228108333333,Flemish Brabant,Flanders
1701,Itterbeek,4.2501187,50.8395994,Flemish Brabant,Flanders
1702,Groot-Bijgaarden,4.2635668372339,50.8714357,Flemish Brabant,Flanders
1703,Schepdaal,4.195149072634,50.8363077,Flemish Brabant,Flanders
1730,Asse / Bekkerzeel / Kobbegem / Mollem,4.223066476821125,50.910244475,Flemish Brabant,Flanders
1731,Relegem / Zellik,4.27672254638985,50.89311415,Flemish Brabant,Flanders
1740,Ternat,4.1834171401216,50.87155835,Flemish Brabant,Flanders
1741,Wambeek,4.1646372476962,50.85672975,Flemish Brabant,Flanders
1742,Sint-Katherina-Lombeek,4.1535568,50.8726659,Flemish Brabant,Flanders
1745,Mazenzele / Opwijk,4.18071485,50.955966000000004,Flemish Brabant,Flanders
1750,Gaasbeek / Lennik / Sint-Kwintens-Lennik / Sint-Martens-Lennik,4.16720294931185,50.8078605875,Flemish Brabant,Flanders
1755,Gooik / Kester / Leerbeek / Oetingen,4.101248766862775,50.777631975,Flemish Brabant,Flanders
1760,Onze-Lieve-Vrouw-Lombeek / Pamel / Roosdaal / Strijtem,4.101454469676425,50.8328627125,Flemish Brabant,Flanders
1761,Borchtlombeek,4.1369148649611,50.84817805,Flemish Brabant,Flanders
1770,Liedekerke,4.0860754,50.8711313,Flemish Brabant,Flanders
1780,Wemmel,4.3108723,50.9145955,Flemish Brabant,Flanders
1785,Brussegem / Hamme / Merchtem,4.206314860347567,50.99171040000001,Flemish Brabant,Flanders
1790,Affligem / Essene / Hekelgem / Teralfene,4.1166712723847,50.9017081,Flemish Brabant,Flanders
